model,method_id,plan_sha256,checkpoint,dynamic_path_final_state_accuracy_pct,correct_change_f1_pct,aggregation
Claude Opus 5,fc_claude_opus_5,three_trajectory_source_plans,60,89.333333,68.235931,checkpoint_then_trajectory_macro
Claude Opus 5,fc_claude_opus_5,three_trajectory_source_plans,120,97.333333,87.332112,checkpoint_then_trajectory_macro
Claude Opus 5,fc_claude_opus_5,three_trajectory_source_plans,180,77.333333,63.837535,checkpoint_then_trajectory_macro
Claude Opus 5,fc_claude_opus_5,three_trajectory_source_plans,240,73.333333,57.940499,checkpoint_then_trajectory_macro
Claude Opus 5,fc_claude_opus_5,three_trajectory_source_plans,300,77.333333,67.264957,checkpoint_then_trajectory_macro
Gemini 3.1 Pro Preview,fc_gemini_3_1_pro,three_trajectory_source_plans,60,85.333333,64.258347,checkpoint_then_trajectory_macro
Gemini 3.1 Pro Preview,fc_gemini_3_1_pro,three_trajectory_source_plans,120,92.000000,80.666667,checkpoint_then_trajectory_macro
Gemini 3.1 Pro Preview,fc_gemini_3_1_pro,three_trajectory_source_plans,180,76.000000,66.919814,checkpoint_then_trajectory_macro
Gemini 3.1 Pro Preview,fc_gemini_3_1_pro,three_trajectory_source_plans,240,66.666667,54.616079,checkpoint_then_trajectory_macro
Gemini 3.1 Pro Preview,fc_gemini_3_1_pro,three_trajectory_source_plans,300,72.000000,59.792270,checkpoint_then_trajectory_macro
GPT-5.6 Sol,fc_gpt_5_6_sol,three_trajectory_source_plans,60,84.000000,64.123999,checkpoint_then_trajectory_macro
GPT-5.6 Sol,fc_gpt_5_6_sol,three_trajectory_source_plans,120,93.333333,79.223986,checkpoint_then_trajectory_macro
GPT-5.6 Sol,fc_gpt_5_6_sol,three_trajectory_source_plans,180,69.333333,53.852814,checkpoint_then_trajectory_macro
GPT-5.6 Sol,fc_gpt_5_6_sol,three_trajectory_source_plans,240,65.333333,48.201153,checkpoint_then_trajectory_macro
GPT-5.6 Sol,fc_gpt_5_6_sol,three_trajectory_source_plans,300,66.666667,49.641577,checkpoint_then_trajectory_macro
Claude Opus 4.8,fc_claude_opus_4_8,e46206e6bd6553002c81e89d2daf2af03c80a87efad40bcd3222ad851243c272+da155ec4dae9a04cb249411abef075d40af046414fc3245674e9fbfa3ae26dca,60,84.000000,62.698413,checkpoint_then_trajectory_macro
Claude Opus 4.8,fc_claude_opus_4_8,e46206e6bd6553002c81e89d2daf2af03c80a87efad40bcd3222ad851243c272+da155ec4dae9a04cb249411abef075d40af046414fc3245674e9fbfa3ae26dca,120,96.000000,85.982906,checkpoint_then_trajectory_macro
Claude Opus 4.8,fc_claude_opus_4_8,e46206e6bd6553002c81e89d2daf2af03c80a87efad40bcd3222ad851243c272+da155ec4dae9a04cb249411abef075d40af046414fc3245674e9fbfa3ae26dca,180,60.000000,48.526140,checkpoint_then_trajectory_macro
Claude Opus 4.8,fc_claude_opus_4_8,e46206e6bd6553002c81e89d2daf2af03c80a87efad40bcd3222ad851243c272+da155ec4dae9a04cb249411abef075d40af046414fc3245674e9fbfa3ae26dca,240,58.666667,46.567547,checkpoint_then_trajectory_macro
Claude Opus 4.8,fc_claude_opus_4_8,e46206e6bd6553002c81e89d2daf2af03c80a87efad40bcd3222ad851243c272+da155ec4dae9a04cb249411abef075d40af046414fc3245674e9fbfa3ae26dca,300,72.000000,59.498208,checkpoint_then_trajectory_macro
