trajectory_id,method_id,final_state_accuracy_pct,dynamic_path_final_state_accuracy_pct,correct_change_f1_pct,path_macro_correct_change_f1_pct,event_macro_update_accuracy_pct,retention_after_update_pct,parse_errors
traj_002,fc_claude_opus_5,78.235294,80.800000,61.870130,69.047619,75.555556,70.899471,0
traj_002,fc_gemini_3_1_pro,62.941176,63.200000,50.077659,58.897243,64.126984,57.566138,1
traj_002,fc_gpt_5_6_sol,69.411765,71.200000,47.940790,51.203008,78.095238,63.174603,0
traj_003,fc_claude_opus_5,78.235294,80.800000,68.323775,72.277778,70.583333,72.791667,0
traj_003,fc_gemini_3_1_pro,80.588235,79.200000,68.628712,70.313492,65.166667,70.500000,0
traj_003,fc_gpt_5_6_sol,78.235294,80.000000,68.107431,71.444444,74.916667,74.875000,0
traj_010,fc_claude_opus_5,83.529412,87.200000,76.572716,73.913043,82.916667,82.986111,0
traj_010,fc_gemini_3_1_pro,80.588235,80.800000,69.045536,70.869565,70.416667,73.506944,0
traj_010,fc_gpt_5_6_sol,73.529412,76.000000,60.977896,58.115942,64.479167,58.541667,0
macro_average,fc_claude_opus_5,80.000000,82.933333,68.922207,72.728767,76.351852,75.559083,0
macro_average,fc_gemini_3_1_pro,74.705882,74.400000,62.583969,67.300036,66.570106,67.191027,1
macro_average,fc_gpt_5_6_sol,73.725490,75.733333,59.008706,60.627403,72.497024,65.530423,0
