model,trajectory_id,plan_sha256,checkpoint,dynamic_path_final_state_accuracy_pct,correct_change_f1_pct,parse_error
Claude Opus 5,traj_002,71ea1d01981a06ed6906fdc930d36a1cdcfa5b17efce04385d0619057ab3949a,60,88.000000,63.636364,
Claude Opus 5,traj_002,71ea1d01981a06ed6906fdc930d36a1cdcfa5b17efce04385d0619057ab3949a,120,100.000000,85.714286,
Claude Opus 5,traj_002,71ea1d01981a06ed6906fdc930d36a1cdcfa5b17efce04385d0619057ab3949a,180,72.000000,60.000000,
Claude Opus 5,traj_002,71ea1d01981a06ed6906fdc930d36a1cdcfa5b17efce04385d0619057ab3949a,240,76.000000,50.000000,
Claude Opus 5,traj_002,71ea1d01981a06ed6906fdc930d36a1cdcfa5b17efce04385d0619057ab3949a,300,68.000000,50.000000,
Claude Opus 5,traj_003,9bb8ed9ee53cbc54a4d9e3ead07204675c07cc784ab2558d75c9cd10b6e7c515,60,92.000000,62.500000,
Claude Opus 5,traj_003,9bb8ed9ee53cbc54a4d9e3ead07204675c07cc784ab2558d75c9cd10b6e7c515,120,92.000000,84.615385,
Claude Opus 5,traj_003,9bb8ed9ee53cbc54a4d9e3ead07204675c07cc784ab2558d75c9cd10b6e7c515,180,68.000000,52.941176,
Claude Opus 5,traj_003,9bb8ed9ee53cbc54a4d9e3ead07204675c07cc784ab2558d75c9cd10b6e7c515,240,76.000000,69.767442,
Claude Opus 5,traj_003,9bb8ed9ee53cbc54a4d9e3ead07204675c07cc784ab2558d75c9cd10b6e7c515,300,76.000000,71.794872,
Claude Opus 5,traj_010,460647a3a1bcc38382800ba2e2be6114439c4d2b7f9c09e21d79296f51542bfd,60,88.000000,78.571429,
Claude Opus 5,traj_010,460647a3a1bcc38382800ba2e2be6114439c4d2b7f9c09e21d79296f51542bfd,120,100.000000,91.666667,
Claude Opus 5,traj_010,460647a3a1bcc38382800ba2e2be6114439c4d2b7f9c09e21d79296f51542bfd,180,92.000000,78.571429,
Claude Opus 5,traj_010,460647a3a1bcc38382800ba2e2be6114439c4d2b7f9c09e21d79296f51542bfd,240,68.000000,54.054054,
Claude Opus 5,traj_010,460647a3a1bcc38382800ba2e2be6114439c4d2b7f9c09e21d79296f51542bfd,300,88.000000,80.000000,
Claude Opus 5,macro_average,trajectory_macro_average,60,89.333333,68.235931,
