model,plan_sha256,input_condition,trajectory_id,checkpoint,dynamic_path_final_state_accuracy_pct,correct_change_f1_pct
Claude Opus 5,460647a3a1bcc38382800ba2e2be6114439c4d2b7f9c09e21d79296f51542bfd,Full Context,traj_010,60,88.000000,78.571429
Claude Opus 5,460647a3a1bcc38382800ba2e2be6114439c4d2b7f9c09e21d79296f51542bfd,Full Context,traj_010,120,100.000000,91.666667
Claude Opus 5,460647a3a1bcc38382800ba2e2be6114439c4d2b7f9c09e21d79296f51542bfd,Full Context,traj_010,180,92.000000,78.571429
Claude Opus 5,460647a3a1bcc38382800ba2e2be6114439c4d2b7f9c09e21d79296f51542bfd,Full Context,traj_010,240,68.000000,54.054054
Claude Opus 5,460647a3a1bcc38382800ba2e2be6114439c4d2b7f9c09e21d79296f51542bfd,Full Context,traj_010,300,88.000000,80.000000
Gemini 3.1 Pro Preview,460647a3a1bcc38382800ba2e2be6114439c4d2b7f9c09e21d79296f51542bfd,Full Context,traj_010,60,80.000000,68.965517
Gemini 3.1 Pro Preview,460647a3a1bcc38382800ba2e2be6114439c4d2b7f9c09e21d79296f51542bfd,Full Context,traj_010,120,92.000000,80.000000
Gemini 3.1 Pro Preview,460647a3a1bcc38382800ba2e2be6114439c4d2b7f9c09e21d79296f51542bfd,Full Context,traj_010,180,84.000000,76.190476
Gemini 3.1 Pro Preview,460647a3a1bcc38382800ba2e2be6114439c4d2b7f9c09e21d79296f51542bfd,Full Context,traj_010,240,68.000000,55.555556
Gemini 3.1 Pro Preview,460647a3a1bcc38382800ba2e2be6114439c4d2b7f9c09e21d79296f51542bfd,Full Context,traj_010,300,80.000000,64.516129
GPT-5.6 Sol,460647a3a1bcc38382800ba2e2be6114439c4d2b7f9c09e21d79296f51542bfd,Full Context,traj_010,60,76.000000,62.068966
GPT-5.6 Sol,460647a3a1bcc38382800ba2e2be6114439c4d2b7f9c09e21d79296f51542bfd,Full Context,traj_010,120,92.000000,80.000000
GPT-5.6 Sol,460647a3a1bcc38382800ba2e2be6114439c4d2b7f9c09e21d79296f51542bfd,Full Context,traj_010,180,80.000000,66.666667
GPT-5.6 Sol,460647a3a1bcc38382800ba2e2be6114439c4d2b7f9c09e21d79296f51542bfd,Full Context,traj_010,240,60.000000,46.153846
GPT-5.6 Sol,460647a3a1bcc38382800ba2e2be6114439c4d2b7f9c09e21d79296f51542bfd,Full Context,traj_010,300,72.000000,50.000000
