model,plan_sha256,input_condition,trajectory_id,checkpoint,dynamic_path_final_state_accuracy_pct,correct_change_f1_pct
Claude Opus 5,9469ed3620c32e102b4eb97f6831d291cc0f9095798c91e9fc10b140fa474b68,Full Context,traj_010,60,88.000000,75.862069
Claude Opus 5,9469ed3620c32e102b4eb97f6831d291cc0f9095798c91e9fc10b140fa474b68,Full Context,traj_010,120,100.000000,88.000000
Claude Opus 5,9469ed3620c32e102b4eb97f6831d291cc0f9095798c91e9fc10b140fa474b68,Full Context,traj_010,180,100.000000,88.888889
Claude Opus 5,9469ed3620c32e102b4eb97f6831d291cc0f9095798c91e9fc10b140fa474b68,Full Context,traj_010,240,84.000000,72.222222
Claude Opus 5,9469ed3620c32e102b4eb97f6831d291cc0f9095798c91e9fc10b140fa474b68,Full Context,traj_010,300,88.000000,82.758621
Gemini 3.1 Pro Preview,9469ed3620c32e102b4eb97f6831d291cc0f9095798c91e9fc10b140fa474b68,Full Context,traj_010,60,84.000000,75.862069
Gemini 3.1 Pro Preview,9469ed3620c32e102b4eb97f6831d291cc0f9095798c91e9fc10b140fa474b68,Full Context,traj_010,120,92.000000,76.923077
Gemini 3.1 Pro Preview,9469ed3620c32e102b4eb97f6831d291cc0f9095798c91e9fc10b140fa474b68,Full Context,traj_010,180,92.000000,81.481481
Gemini 3.1 Pro Preview,9469ed3620c32e102b4eb97f6831d291cc0f9095798c91e9fc10b140fa474b68,Full Context,traj_010,240,68.000000,51.282051
Gemini 3.1 Pro Preview,9469ed3620c32e102b4eb97f6831d291cc0f9095798c91e9fc10b140fa474b68,Full Context,traj_010,300,80.000000,66.666667
GPT-5.6 Sol,9469ed3620c32e102b4eb97f6831d291cc0f9095798c91e9fc10b140fa474b68,Full Context,traj_010,60,80.000000,71.428571
GPT-5.6 Sol,9469ed3620c32e102b4eb97f6831d291cc0f9095798c91e9fc10b140fa474b68,Full Context,traj_010,120,80.000000,62.068966
GPT-5.6 Sol,9469ed3620c32e102b4eb97f6831d291cc0f9095798c91e9fc10b140fa474b68,Full Context,traj_010,180,80.000000,62.068966
GPT-5.6 Sol,9469ed3620c32e102b4eb97f6831d291cc0f9095798c91e9fc10b140fa474b68,Full Context,traj_010,240,60.000000,45.000000
GPT-5.6 Sol,9469ed3620c32e102b4eb97f6831d291cc0f9095798c91e9fc10b140fa474b68,Full Context,traj_010,300,72.000000,51.612903
