model,reasoning_level,plan_sha256,trajectory_id,checkpoint,dynamic_path_final_state_accuracy_pct,correct_change_f1_pct
Claude Opus 5,Medium,9469ed3620c32e102b4eb97f6831d291cc0f9095798c91e9fc10b140fa474b68,traj_010,60,88.000000,75.862069
Claude Opus 5,Medium,9469ed3620c32e102b4eb97f6831d291cc0f9095798c91e9fc10b140fa474b68,traj_010,120,100.000000,88.000000
Claude Opus 5,Medium,9469ed3620c32e102b4eb97f6831d291cc0f9095798c91e9fc10b140fa474b68,traj_010,180,100.000000,88.888889
Claude Opus 5,Medium,9469ed3620c32e102b4eb97f6831d291cc0f9095798c91e9fc10b140fa474b68,traj_010,240,84.000000,72.222222
Claude Opus 5,Medium,9469ed3620c32e102b4eb97f6831d291cc0f9095798c91e9fc10b140fa474b68,traj_010,300,88.000000,82.758621
Claude Opus 5,Low,460647a3a1bcc38382800ba2e2be6114439c4d2b7f9c09e21d79296f51542bfd,traj_010,60,88.000000,78.571429
Claude Opus 5,Low,460647a3a1bcc38382800ba2e2be6114439c4d2b7f9c09e21d79296f51542bfd,traj_010,120,100.000000,91.666667
Claude Opus 5,Low,460647a3a1bcc38382800ba2e2be6114439c4d2b7f9c09e21d79296f51542bfd,traj_010,180,92.000000,78.571429
Claude Opus 5,Low,460647a3a1bcc38382800ba2e2be6114439c4d2b7f9c09e21d79296f51542bfd,traj_010,240,68.000000,54.054054
Claude Opus 5,Low,460647a3a1bcc38382800ba2e2be6114439c4d2b7f9c09e21d79296f51542bfd,traj_010,300,88.000000,80.000000
Gemini 3.1 Pro Preview,Medium,9469ed3620c32e102b4eb97f6831d291cc0f9095798c91e9fc10b140fa474b68,traj_010,60,84.000000,75.862069
Gemini 3.1 Pro Preview,Medium,9469ed3620c32e102b4eb97f6831d291cc0f9095798c91e9fc10b140fa474b68,traj_010,120,92.000000,76.923077
Gemini 3.1 Pro Preview,Medium,9469ed3620c32e102b4eb97f6831d291cc0f9095798c91e9fc10b140fa474b68,traj_010,180,92.000000,81.481481
Gemini 3.1 Pro Preview,Medium,9469ed3620c32e102b4eb97f6831d291cc0f9095798c91e9fc10b140fa474b68,traj_010,240,68.000000,51.282051
Gemini 3.1 Pro Preview,Medium,9469ed3620c32e102b4eb97f6831d291cc0f9095798c91e9fc10b140fa474b68,traj_010,300,80.000000,66.666667
Gemini 3.1 Pro Preview,Low,460647a3a1bcc38382800ba2e2be6114439c4d2b7f9c09e21d79296f51542bfd,traj_010,60,80.000000,68.965517
Gemini 3.1 Pro Preview,Low,460647a3a1bcc38382800ba2e2be6114439c4d2b7f9c09e21d79296f51542bfd,traj_010,120,92.000000,80.000000
Gemini 3.1 Pro Preview,Low,460647a3a1bcc38382800ba2e2be6114439c4d2b7f9c09e21d79296f51542bfd,traj_010,180,84.000000,76.190476
Gemini 3.1 Pro Preview,Low,460647a3a1bcc38382800ba2e2be6114439c4d2b7f9c09e21d79296f51542bfd,traj_010,240,68.000000,55.555556
Gemini 3.1 Pro Preview,Low,460647a3a1bcc38382800ba2e2be6114439c4d2b7f9c09e21d79296f51542bfd,traj_010,300,80.000000,64.516129
GPT-5.6 Sol,Medium,9469ed3620c32e102b4eb97f6831d291cc0f9095798c91e9fc10b140fa474b68,traj_010,60,80.000000,71.428571
GPT-5.6 Sol,Medium,9469ed3620c32e102b4eb97f6831d291cc0f9095798c91e9fc10b140fa474b68,traj_010,120,80.000000,62.068966
GPT-5.6 Sol,Medium,9469ed3620c32e102b4eb97f6831d291cc0f9095798c91e9fc10b140fa474b68,traj_010,180,80.000000,62.068966
GPT-5.6 Sol,Medium,9469ed3620c32e102b4eb97f6831d291cc0f9095798c91e9fc10b140fa474b68,traj_010,240,60.000000,45.000000
GPT-5.6 Sol,Medium,9469ed3620c32e102b4eb97f6831d291cc0f9095798c91e9fc10b140fa474b68,traj_010,300,72.000000,51.612903
GPT-5.6 Sol,Low,460647a3a1bcc38382800ba2e2be6114439c4d2b7f9c09e21d79296f51542bfd,traj_010,60,76.000000,62.068966
GPT-5.6 Sol,Low,460647a3a1bcc38382800ba2e2be6114439c4d2b7f9c09e21d79296f51542bfd,traj_010,120,92.000000,80.000000
GPT-5.6 Sol,Low,460647a3a1bcc38382800ba2e2be6114439c4d2b7f9c09e21d79296f51542bfd,traj_010,180,80.000000,66.666667
GPT-5.6 Sol,Low,460647a3a1bcc38382800ba2e2be6114439c4d2b7f9c09e21d79296f51542bfd,traj_010,240,60.000000,46.153846
GPT-5.6 Sol,Low,460647a3a1bcc38382800ba2e2be6114439c4d2b7f9c09e21d79296f51542bfd,traj_010,300,72.000000,50.000000
