method_id,trajectory_id,items,strict_occurred_event_evidence_f1,exact_pair_set_match
fc_openrouter_llama_4_maverick,traj_001,20,0.3150985240249946,0.0
fc_openrouter_llama_4_maverick,traj_002,20,0.4050049594443187,0.05
fc_openrouter_llama_4_maverick,traj_003,20,0.49623474700991865,0.1
fc_openrouter_llama_4_maverick,traj_004,20,0.4441975845880511,0.05
fc_openrouter_llama_4_maverick,traj_005,20,0.370312856145007,0.1
fc_openrouter_llama_4_maverick,traj_006,20,0.3099521258418822,0.05
fc_openrouter_llama_4_maverick,traj_007,20,0.1021067821067821,0.0
fc_openrouter_llama_4_maverick,traj_008,20,0.28770746310219997,0.0
fc_openrouter_llama_4_maverick,traj_009,20,0.22216791979949874,0.0
fc_openrouter_llama_4_maverick,traj_010,20,0.14892823842823844,0.1
fc_openrouter_llama_4_maverick,traj_011,20,0.44855736294186965,0.1
fc_openrouter_llama_4_maverick,traj_012,20,0.38856677804953665,0.1
fc_openrouter_llama_4_maverick,traj_013,20,0.4604336186689128,0.0
fc_openrouter_llama_4_maverick,traj_014,20,0.262931936586668,0.05
fc_openrouter_llama_4_maverick,traj_015,20,0.34801565050017064,0.1
fc_openrouter_llama_4_maverick,traj_016,20,0.3559319198998044,0.0
fc_openrouter_llama_4_maverick,traj_017,20,0.4668767927978454,0.1
fc_openrouter_llama_4_maverick,traj_018,20,0.5085982139261854,0.05
fc_openrouter_llama_4_maverick,traj_019,20,0.38380772005772007,0.0
fc_openrouter_llama_4_maverick,traj_020,20,0.42190073855259114,0.05
