method_id,trajectory_id,checkpoint,strict_occurred_event_evidence_f1,correct,predicted_pair_count,gold_pair_count,true_positive_pair_count,parse_error
fc_openrouter_gpt_oss_120b,traj_001,15,1.0,1,1,1,1,0
fc_openrouter_gpt_oss_120b,traj_001,30,0.0,0,0,2,0,0
fc_openrouter_gpt_oss_120b,traj_001,45,0.0,0,0,3,0,0
fc_openrouter_gpt_oss_120b,traj_001,60,0.0,0,0,4,0,0
fc_openrouter_gpt_oss_120b,traj_001,75,0.0,0,1,5,0,0
fc_openrouter_gpt_oss_120b,traj_001,90,0.0,0,0,6,0,0
fc_openrouter_gpt_oss_120b,traj_001,105,0.0,0,1,7,0,0
fc_openrouter_gpt_oss_120b,traj_001,120,0.0,0,1,8,0,0
fc_openrouter_gpt_oss_120b,traj_001,135,0.0,0,1,9,0,0
fc_openrouter_gpt_oss_120b,traj_001,150,0.16666666666666669,0,2,10,1,0
fc_openrouter_gpt_oss_120b,traj_001,165,0.16666666666666669,0,1,11,1,0
fc_openrouter_gpt_oss_120b,traj_001,180,0.0,0,1,12,0,0
fc_openrouter_gpt_oss_120b,traj_001,195,0.0,0,1,13,0,0
fc_openrouter_gpt_oss_120b,traj_001,210,0.125,0,2,14,1,0
fc_openrouter_gpt_oss_120b,traj_001,225,0.0,0,1,15,0,0
fc_openrouter_gpt_oss_120b,traj_001,240,0.0,0,1,16,0,0
fc_openrouter_gpt_oss_120b,traj_001,255,0.10526315789473684,0,2,17,1,0
fc_openrouter_gpt_oss_120b,traj_001,270,0.0,0,1,18,0,0
fc_openrouter_gpt_oss_120b,traj_001,285,0.0,0,1,19,0,0
fc_openrouter_gpt_oss_120b,traj_001,300,0.1739130434782609,0,3,20,2,0
fc_openrouter_gpt_oss_120b,traj_002,15,0.0,0,0,1,0,0
fc_openrouter_gpt_oss_120b,traj_002,30,0.0,0,0,2,0,0
fc_openrouter_gpt_oss_120b,traj_002,45,0.0,0,0,3,0,0
fc_openrouter_gpt_oss_120b,traj_002,60,0.0,0,0,4,0,0
fc_openrouter_gpt_oss_120b,traj_002,75,0.0,0,0,5,0,0
fc_openrouter_gpt_oss_120b,traj_002,90,0.0,0,0,6,0,0
fc_openrouter_gpt_oss_120b,traj_002,105,0.0,0,0,7,0,0
fc_openrouter_gpt_oss_120b,traj_002,120,0.2222222222222222,0,1,8,1,0
fc_openrouter_gpt_oss_120b,traj_002,135,0.0,0,0,9,0,0
fc_openrouter_gpt_oss_120b,traj_002,150,0.0,0,0,10,0,0
fc_openrouter_gpt_oss_120b,traj_002,165,0.0,0,0,11,0,0
fc_openrouter_gpt_oss_120b,traj_002,180,0.0,0,0,12,0,0
fc_openrouter_gpt_oss_120b,traj_002,195,0.2666666666666667,0,2,13,2,0
fc_openrouter_gpt_oss_120b,traj_002,210,0.13333333333333333,0,1,14,1,0
fc_openrouter_gpt_oss_120b,traj_002,225,0.0,0,1,15,0,0
fc_openrouter_gpt_oss_120b,traj_002,240,0.11764705882352941,0,1,16,1,0
