method_id,trajectory_id,checkpoint,visible_prefix_size,retrieved_evidence_count,visible_prefix_recall,visible_prefix_complete
fc_openrouter_gpt_oss_120b,traj_001,15,15,15,1.0,True
fc_openrouter_gpt_oss_120b,traj_001,30,30,30,1.0,True
fc_openrouter_gpt_oss_120b,traj_001,45,45,45,1.0,True
fc_openrouter_gpt_oss_120b,traj_001,60,60,60,1.0,True
fc_openrouter_gpt_oss_120b,traj_001,75,75,75,1.0,True
fc_openrouter_gpt_oss_120b,traj_001,90,90,90,1.0,True
fc_openrouter_gpt_oss_120b,traj_001,105,105,105,1.0,True
fc_openrouter_gpt_oss_120b,traj_001,120,120,120,1.0,True
fc_openrouter_gpt_oss_120b,traj_001,135,135,135,1.0,True
fc_openrouter_gpt_oss_120b,traj_001,150,150,150,1.0,True
fc_openrouter_gpt_oss_120b,traj_001,165,165,165,1.0,True
fc_openrouter_gpt_oss_120b,traj_001,180,180,180,1.0,True
fc_openrouter_gpt_oss_120b,traj_001,195,195,195,1.0,True
fc_openrouter_gpt_oss_120b,traj_001,210,210,210,1.0,True
fc_openrouter_gpt_oss_120b,traj_001,225,225,225,1.0,True
fc_openrouter_gpt_oss_120b,traj_001,240,240,240,1.0,True
fc_openrouter_gpt_oss_120b,traj_001,255,255,255,1.0,True
fc_openrouter_gpt_oss_120b,traj_001,270,270,270,1.0,True
fc_openrouter_gpt_oss_120b,traj_001,285,285,285,1.0,True
fc_openrouter_gpt_oss_120b,traj_001,300,300,300,1.0,True
fc_openrouter_gpt_oss_120b,traj_002,15,15,15,1.0,True
fc_openrouter_gpt_oss_120b,traj_002,30,30,30,1.0,True
fc_openrouter_gpt_oss_120b,traj_002,45,45,45,1.0,True
fc_openrouter_gpt_oss_120b,traj_002,60,60,60,1.0,True
fc_openrouter_gpt_oss_120b,traj_002,75,75,75,1.0,True
fc_openrouter_gpt_oss_120b,traj_002,90,90,90,1.0,True
fc_openrouter_gpt_oss_120b,traj_002,105,105,105,1.0,True
fc_openrouter_gpt_oss_120b,traj_002,120,120,120,1.0,True
fc_openrouter_gpt_oss_120b,traj_002,135,135,135,1.0,True
fc_openrouter_gpt_oss_120b,traj_002,150,150,150,1.0,True
fc_openrouter_gpt_oss_120b,traj_002,165,165,165,1.0,True
fc_openrouter_gpt_oss_120b,traj_002,180,180,180,1.0,True
fc_openrouter_gpt_oss_120b,traj_002,195,195,195,1.0,True
fc_openrouter_gpt_oss_120b,traj_002,210,210,210,1.0,True
fc_openrouter_gpt_oss_120b,traj_002,225,225,225,1.0,True
fc_openrouter_gpt_oss_120b,traj_002,240,240,240,1.0,True
fc_openrouter_gpt_oss_120b,traj_002,255,255,255,1.0,True
fc_openrouter_gpt_oss_120b,traj_002,270,270,270,1.0,True
fc_openrouter_gpt_oss_120b,traj_002,285,285,285,1.0,True
fc_openrouter_gpt_oss_120b,traj_002,300,300,300,1.0,True
fc_openrouter_gpt_oss_120b,traj_003,15,15,15,1.0,True
fc_openrouter_gpt_oss_120b,traj_003,30,30,30,1.0,True
fc_openrouter_gpt_oss_120b,traj_003,45,45,45,1.0,True
fc_openrouter_gpt_oss_120b,traj_003,60,60,60,1.0,True
fc_openrouter_gpt_oss_120b,traj_003,75,75,75,1.0,True
fc_openrouter_gpt_oss_120b,traj_003,90,90,90,1.0,True
fc_openrouter_gpt_oss_120b,traj_003,105,105,105,1.0,True
fc_openrouter_gpt_oss_120b,traj_003,120,120,120,1.0,True
fc_openrouter_gpt_oss_120b,traj_003,135,135,135,1.0,True
fc_openrouter_gpt_oss_120b,traj_003,150,150,150,1.0,True
fc_openrouter_gpt_oss_120b,traj_003,165,165,165,1.0,True
fc_openrouter_gpt_oss_120b,traj_003,180,180,180,1.0,True
fc_openrouter_gpt_oss_120b,traj_003,195,195,195,1.0,True
fc_openrouter_gpt_oss_120b,traj_003,210,210,210,1.0,True
fc_openrouter_gpt_oss_120b,traj_003,225,225,225,1.0,True
fc_openrouter_gpt_oss_120b,traj_003,240,240,240,1.0,True
fc_openrouter_gpt_oss_120b,traj_003,255,255,255,1.0,True
fc_openrouter_gpt_oss_120b,traj_003,270,270,270,1.0,True
fc_openrouter_gpt_oss_120b,traj_003,285,285,285,1.0,True
fc_openrouter_gpt_oss_120b,traj_003,300,300,300,1.0,True
fc_openrouter_gpt_oss_120b,traj_004,15,15,15,1.0,True
fc_openrouter_gpt_oss_120b,traj_004,30,30,30,1.0,True
fc_openrouter_gpt_oss_120b,traj_004,45,45,45,1.0,True
fc_openrouter_gpt_oss_120b,traj_004,60,60,60,1.0,True
