method_id,trajectory_id,checkpoint,strict_occurred_event_evidence_f1,exact_pair_set_match,correct,predicted_pair_count,gold_pair_count,true_positive_pair_count,parse_error
fc_openrouter_qwen_3_5_122b_a10b,traj_001,15,1.0,1.0,1,1,1,1,0
fc_openrouter_qwen_3_5_122b_a10b,traj_001,30,0.6666666666666666,0.0,0,1,2,1,0
fc_openrouter_qwen_3_5_122b_a10b,traj_001,45,1.0,1.0,1,3,3,3,0
fc_openrouter_qwen_3_5_122b_a10b,traj_001,60,0.6666666666666666,0.0,0,2,4,2,0
fc_openrouter_qwen_3_5_122b_a10b,traj_001,75,0.28571428571428575,0.0,0,2,5,1,0
fc_openrouter_qwen_3_5_122b_a10b,traj_001,90,0.25,0.0,0,2,6,1,0
fc_openrouter_qwen_3_5_122b_a10b,traj_001,105,0.36363636363636365,0.0,0,4,7,2,0
fc_openrouter_qwen_3_5_122b_a10b,traj_001,120,0.42857142857142855,0.0,0,6,8,3,0
fc_openrouter_qwen_3_5_122b_a10b,traj_001,135,0.42857142857142855,0.0,0,5,9,3,0
fc_openrouter_qwen_3_5_122b_a10b,traj_001,150,0.5,0.0,0,6,10,4,0
fc_openrouter_qwen_3_5_122b_a10b,traj_001,165,0.4444444444444444,0.0,0,7,11,4,0
fc_openrouter_qwen_3_5_122b_a10b,traj_001,180,0.5,0.0,0,8,12,5,0
fc_openrouter_qwen_3_5_122b_a10b,traj_001,195,0.380952380952381,0.0,0,8,13,4,0
fc_openrouter_qwen_3_5_122b_a10b,traj_001,210,0.34782608695652173,0.0,0,9,14,4,0
fc_openrouter_qwen_3_5_122b_a10b,traj_001,225,0.5384615384615385,0.0,0,11,15,7,0
fc_openrouter_qwen_3_5_122b_a10b,traj_001,240,0.4166666666666667,0.0,0,8,16,5,0
fc_openrouter_qwen_3_5_122b_a10b,traj_001,255,0.5185185185185185,0.0,0,10,17,7,0
fc_openrouter_qwen_3_5_122b_a10b,traj_001,270,0.35714285714285715,0.0,0,10,18,5,0
fc_openrouter_qwen_3_5_122b_a10b,traj_001,285,0.6206896551724138,0.0,0,10,19,9,0
fc_openrouter_qwen_3_5_122b_a10b,traj_001,300,0.5,0.0,0,12,20,8,0
fc_openrouter_qwen_3_5_122b_a10b,traj_002,15,1.0,1.0,1,1,1,1,0
fc_openrouter_qwen_3_5_122b_a10b,traj_002,30,1.0,1.0,1,2,2,2,0
fc_openrouter_qwen_3_5_122b_a10b,traj_002,45,1.0,1.0,1,3,3,3,0
fc_openrouter_qwen_3_5_122b_a10b,traj_002,60,0.8571428571428571,0.0,0,3,4,3,0
fc_openrouter_qwen_3_5_122b_a10b,traj_002,75,1.0,1.0,1,5,5,5,0
fc_openrouter_qwen_3_5_122b_a10b,traj_002,90,1.0,1.0,1,6,6,6,0
fc_openrouter_qwen_3_5_122b_a10b,traj_002,105,0.8333333333333333,0.0,0,5,7,5,0
fc_openrouter_qwen_3_5_122b_a10b,traj_002,120,0.9333333333333333,0.0,0,7,8,7,0
fc_openrouter_qwen_3_5_122b_a10b,traj_002,135,0.75,0.0,0,7,9,6,0
fc_openrouter_qwen_3_5_122b_a10b,traj_002,150,0.7777777777777777,0.0,0,8,10,7,0
fc_openrouter_qwen_3_5_122b_a10b,traj_002,165,0.8571428571428572,0.0,0,10,11,9,0
fc_openrouter_qwen_3_5_122b_a10b,traj_002,180,0.8695652173913043,0.0,0,11,12,10,0
fc_openrouter_qwen_3_5_122b_a10b,traj_002,195,0.8181818181818181,0.0,0,9,13,9,0
fc_openrouter_qwen_3_5_122b_a10b,traj_002,210,0.8461538461538461,0.0,0,12,14,11,0
fc_openrouter_qwen_3_5_122b_a10b,traj_002,225,0.6956521739130436,0.0,0,8,15,8,0
fc_openrouter_qwen_3_5_122b_a10b,traj_002,240,0.6923076923076923,0.0,0,10,16,9,0
fc_openrouter_qwen_3_5_122b_a10b,traj_002,255,0.6896551724137931,0.0,0,12,17,10,0
fc_openrouter_qwen_3_5_122b_a10b,traj_002,270,0.7333333333333334,0.0,0,12,18,11,0
fc_openrouter_qwen_3_5_122b_a10b,traj_002,285,0.7333333333333334,0.0,0,11,19,11,0
fc_openrouter_qwen_3_5_122b_a10b,traj_002,300,0.7647058823529412,0.0,0,14,20,13,0
fc_openrouter_qwen_3_5_122b_a10b,traj_003,15,1.0,1.0,1,1,1,1,0
fc_openrouter_qwen_3_5_122b_a10b,traj_003,30,1.0,1.0,1,2,2,2,0
fc_openrouter_qwen_3_5_122b_a10b,traj_003,45,1.0,1.0,1,3,3,3,0
