method_id,trajectory_id,checkpoint,latency_seconds,input_tokens,output_tokens,memory_inference_input_tokens,memory_inference_output_tokens,memory_inference_usage_scope,estimated_cost_usd,routed_provider,embedding_document_calls,embedding_query_calls,memory_inference_calls,memory_search_calls,letta_tool_calls,component_call_scope
fc_openrouter_qwen_3_6_35b_a3b_fp8,traj_001,15,16.223195,3744,2539,,,,0.0041097500000000006,CoreWeave,,,,,,cumulative_ingestion_to_checkpoint; query/search counts are per checkpoint
fc_openrouter_qwen_3_6_35b_a3b_fp8,traj_001,30,19.475017,6617,3026,,,,0.005436750000000001,CoreWeave,,,,,,cumulative_ingestion_to_checkpoint; query/search counts are per checkpoint
fc_openrouter_qwen_3_6_35b_a3b_fp8,traj_001,45,19.724841,9363,3045,,,,0.006147,CoreWeave,,,,,,cumulative_ingestion_to_checkpoint; query/search counts are per checkpoint
fc_openrouter_qwen_3_6_35b_a3b_fp8,traj_001,60,31.540065,12193,5801,,,,0.0102995,CoreWeave,,,,,,cumulative_ingestion_to_checkpoint; query/search counts are per checkpoint
fc_openrouter_qwen_3_6_35b_a3b_fp8,traj_001,75,34.088482,15012,5993,,,,0.01124425,CoreWeave,,,,,,cumulative_ingestion_to_checkpoint; query/search counts are per checkpoint
fc_openrouter_qwen_3_6_35b_a3b_fp8,traj_001,90,30.994518,17938,5277,,,,0.01108075,CoreWeave,,,,,,cumulative_ingestion_to_checkpoint; query/search counts are per checkpoint
fc_openrouter_qwen_3_6_35b_a3b_fp8,traj_001,105,43.790014,20810,7510,,,,0.014589999999999999,CoreWeave,,,,,,cumulative_ingestion_to_checkpoint; query/search counts are per checkpoint
fc_openrouter_qwen_3_6_35b_a3b_fp8,traj_001,120,36.773162,23723,6322,,,,0.013833249999999998,CoreWeave,,,,,,cumulative_ingestion_to_checkpoint; query/search counts are per checkpoint
fc_openrouter_qwen_3_6_35b_a3b_fp8,traj_001,135,36.533828,26443,6597,,,,0.014856999999999999,CoreWeave,,,,,,cumulative_ingestion_to_checkpoint; query/search counts are per checkpoint
fc_openrouter_qwen_3_6_35b_a3b_fp8,traj_001,150,33.408973,29454,5924,,,,0.0147685,CoreWeave,,,,,,cumulative_ingestion_to_checkpoint; query/search counts are per checkpoint
fc_openrouter_qwen_3_6_35b_a3b_fp8,traj_001,165,35.382831,32249,6281,,,,0.0159135,CoreWeave,,,,,,cumulative_ingestion_to_checkpoint; query/search counts are per checkpoint
fc_openrouter_qwen_3_6_35b_a3b_fp8,traj_001,180,45.549394,34961,7764,,,,0.01844525,CoreWeave,,,,,,cumulative_ingestion_to_checkpoint; query/search counts are per checkpoint
fc_openrouter_qwen_3_6_35b_a3b_fp8,traj_001,195,46.72252,37793,8569,,,,0.0201595,CoreWeave,,,,,,cumulative_ingestion_to_checkpoint; query/search counts are per checkpoint
fc_openrouter_qwen_3_6_35b_a3b_fp8,traj_001,210,67.772182,40549,9619,,,,0.022161,CoreWeave,,,,,,cumulative_ingestion_to_checkpoint; query/search counts are per checkpoint
fc_openrouter_qwen_3_6_35b_a3b_fp8,traj_001,225,31.058761,43284,5834,,,,0.018113499999999998,CoreWeave,,,,,,cumulative_ingestion_to_checkpoint; query/search counts are per checkpoint
fc_openrouter_qwen_3_6_35b_a3b_fp8,traj_001,240,49.829057,46177,9012,,,,0.02280925,CoreWeave,,,,,,cumulative_ingestion_to_checkpoint; query/search counts are per checkpoint
fc_openrouter_qwen_3_6_35b_a3b_fp8,traj_001,255,34.510782,48854,6374,,,,0.020180999999999998,CoreWeave,,,,,,cumulative_ingestion_to_checkpoint; query/search counts are per checkpoint
fc_openrouter_qwen_3_6_35b_a3b_fp8,traj_001,270,29.586131,51609,5675,,,,0.019996,CoreWeave,,,,,,cumulative_ingestion_to_checkpoint; query/search counts are per checkpoint
