method_id,trajectory_id,checkpoint,latency_seconds,input_tokens,output_tokens,memory_inference_input_tokens,memory_inference_output_tokens,memory_inference_usage_scope,estimated_cost_usd,routed_provider,embedding_document_calls,embedding_query_calls,memory_inference_calls,memory_search_calls,letta_tool_calls,component_call_scope
fc_claude_opus_4_8,traj_010,15,21.148969,9481,2015,,,,0.09778,,,,,,,cumulative_ingestion_to_checkpoint; query/search counts are per checkpoint
fc_claude_opus_4_8,traj_010,30,30.150703,15388,2666,,,,0.14359,,,,,,,cumulative_ingestion_to_checkpoint; query/search counts are per checkpoint
fc_claude_opus_4_8,traj_010,45,36.45405,21276,3168,,,,0.18558000000000002,,,,,,,cumulative_ingestion_to_checkpoint; query/search counts are per checkpoint
fc_claude_opus_4_8,traj_010,60,53.663893,27360,4447,,,,0.247975,,,,,,,cumulative_ingestion_to_checkpoint; query/search counts are per checkpoint
fc_claude_opus_4_8,traj_010,75,62.094228,33403,5317,,,,0.29994000000000004,,,,,,,cumulative_ingestion_to_checkpoint; query/search counts are per checkpoint
fc_claude_opus_4_8,traj_010,90,44.016046,39293,3778,,,,0.29091500000000003,,,,,,,cumulative_ingestion_to_checkpoint; query/search counts are per checkpoint
fc_claude_opus_4_8,traj_010,105,62.505967,45450,5204,,,,0.35735,,,,,,,cumulative_ingestion_to_checkpoint; query/search counts are per checkpoint
fc_claude_opus_4_8,traj_010,120,49.073359,51417,4023,,,,0.35766000000000003,,,,,,,cumulative_ingestion_to_checkpoint; query/search counts are per checkpoint
fc_claude_opus_4_8,traj_010,135,61.133047,56936,4852,,,,0.40598000000000006,,,,,,,cumulative_ingestion_to_checkpoint; query/search counts are per checkpoint
fc_claude_opus_4_8,traj_010,150,95.896997,62883,7476,,,,0.501315,,,,,,,cumulative_ingestion_to_checkpoint; query/search counts are per checkpoint
fc_claude_opus_4_8,traj_010,165,83.629145,68358,6585,,,,0.5064150000000001,,,,,,,cumulative_ingestion_to_checkpoint; query/search counts are per checkpoint
fc_claude_opus_4_8,traj_010,180,130.561604,74022,9738,,,,0.6135600000000001,,,,,,,cumulative_ingestion_to_checkpoint; query/search counts are per checkpoint
fc_claude_opus_4_8,traj_010,195,114.077372,80191,9260,,,,0.632455,,,,,,,cumulative_ingestion_to_checkpoint; query/search counts are per checkpoint
fc_claude_opus_4_8,traj_010,210,162.416151,85910,12727,,,,0.7477250000000001,,,,,,,cumulative_ingestion_to_checkpoint; query/search counts are per checkpoint
fc_claude_opus_4_8,traj_010,225,145.87037,91830,11372,,,,0.74345,,,,,,,cumulative_ingestion_to_checkpoint; query/search counts are per checkpoint
fc_claude_opus_4_8,traj_010,240,124.411709,97292,9863,,,,0.7330350000000001,,,,,,,cumulative_ingestion_to_checkpoint; query/search counts are per checkpoint
fc_claude_opus_4_8,traj_010,255,158.018184,103080,12509,,,,0.8281250000000001,,,,,,,cumulative_ingestion_to_checkpoint; query/search counts are per checkpoint
fc_claude_opus_4_8,traj_010,270,130.178876,109106,10306,,,,0.80318,,,,,,,cumulative_ingestion_to_checkpoint; query/search counts are per checkpoint
fc_claude_opus_4_8,traj_010,285,221.77394,114684,17249,,,,1.004645,,,,,,,cumulative_ingestion_to_checkpoint; query/search counts are per checkpoint
fc_claude_opus_4_8,traj_010,300,237.239341,120323,18210,,,,1.0568650000000002,,,,,,,cumulative_ingestion_to_checkpoint; query/search counts are per checkpoint
fc_gpt_5_6_sol,traj_010,15,17.476186,5641,1643,,,,0.07749500000000001,,,,,,,cumulative_ingestion_to_checkpoint; query/search counts are per checkpoint
fc_gpt_5_6_sol,traj_010,30,18.821683,9071,1420,,,,0.087955,,,,,,,cumulative_ingestion_to_checkpoint; query/search counts are per checkpoint
fc_gpt_5_6_sol,traj_010,45,16.937625,12485,1212,,,,0.09878500000000001,,,,,,,cumulative_ingestion_to_checkpoint; query/search counts are per checkpoint
fc_gpt_5_6_sol,traj_010,60,19.981856,15995,1314,,,,0.119395,,,,,,,cumulative_ingestion_to_checkpoint; query/search counts are per checkpoint
fc_gpt_5_6_sol,traj_010,75,32.371678,19478,2010,,,,0.15769,,,,,,,cumulative_ingestion_to_checkpoint; query/search counts are per checkpoint
fc_gpt_5_6_sol,traj_010,90,20.699408,22834,1525,,,,0.15992,,,,,,,cumulative_ingestion_to_checkpoint; query/search counts are per checkpoint
fc_gpt_5_6_sol,traj_010,105,29.538859,26386,1914,,,,0.18935000000000002,,,,,,,cumulative_ingestion_to_checkpoint; query/search counts are per checkpoint
fc_gpt_5_6_sol,traj_010,120,16.617033,29864,1252,,,,0.18688000000000002,,,,,,,cumulative_ingestion_to_checkpoint; query/search counts are per checkpoint
fc_gpt_5_6_sol,traj_010,135,26.150957,33057,1842,,,,0.22054500000000002,,,,,,,cumulative_ingestion_to_checkpoint; query/search counts are per checkpoint
fc_gpt_5_6_sol,traj_010,150,20.927183,36533,1548,,,,0.22910500000000003,,,,,,,cumulative_ingestion_to_checkpoint; query/search counts are per checkpoint
fc_gpt_5_6_sol,traj_010,165,35.917385,39753,1976,,,,0.258045,,,,,,,cumulative_ingestion_to_checkpoint; query/search counts are per checkpoint
fc_gpt_5_6_sol,traj_010,180,36.187105,43073,2098,,,,0.278305,,,,,,,cumulative_ingestion_to_checkpoint; query/search counts are per checkpoint
fc_gpt_5_6_sol,traj_010,195,29.525592,46673,1802,,,,0.28742500000000004,,,,,,,cumulative_ingestion_to_checkpoint; query/search counts are per checkpoint
fc_gpt_5_6_sol,traj_010,210,30.817716,49992,1877,,,,0.30627000000000004,,,,,,,cumulative_ingestion_to_checkpoint; query/search counts are per checkpoint
fc_gpt_5_6_sol,traj_010,225,24.442818,53450,1540,,,,0.31345000000000006,,,,,,,cumulative_ingestion_to_checkpoint; query/search counts are per checkpoint
fc_gpt_5_6_sol,traj_010,240,26.695347,56671,1911,,,,0.340685,,,,,,,cumulative_ingestion_to_checkpoint; query/search counts are per checkpoint
fc_gpt_5_6_sol,traj_010,255,26.956512,60092,1889,,,,0.35713,,,,,,,cumulative_ingestion_to_checkpoint; query/search counts are per checkpoint
