method_id,trajectory_id,checkpoint,first_attempt_parse_error,first_attempt_schema_failure,final_parse_error,final_schema_failure,retry_count
fc_claude_opus_4_8,traj_010,15,False,False,False,False,0
fc_claude_opus_4_8,traj_010,30,False,False,False,False,0
fc_claude_opus_4_8,traj_010,45,False,False,False,False,0
fc_claude_opus_4_8,traj_010,60,False,False,False,False,0
fc_claude_opus_4_8,traj_010,75,False,False,False,False,0
fc_claude_opus_4_8,traj_010,90,False,False,False,False,0
fc_claude_opus_4_8,traj_010,105,False,False,False,False,0
fc_claude_opus_4_8,traj_010,120,False,False,False,False,0
fc_claude_opus_4_8,traj_010,135,False,False,False,False,0
fc_claude_opus_4_8,traj_010,150,False,False,False,False,0
fc_claude_opus_4_8,traj_010,165,False,False,False,False,0
fc_claude_opus_4_8,traj_010,180,False,False,False,False,0
fc_claude_opus_4_8,traj_010,195,False,False,False,False,0
fc_claude_opus_4_8,traj_010,210,False,False,False,False,0
fc_claude_opus_4_8,traj_010,225,False,False,False,False,0
fc_claude_opus_4_8,traj_010,240,False,False,False,False,0
fc_claude_opus_4_8,traj_010,255,False,False,False,False,0
fc_claude_opus_4_8,traj_010,270,False,False,False,False,0
fc_claude_opus_4_8,traj_010,285,False,False,False,False,0
fc_claude_opus_4_8,traj_010,300,False,False,False,False,0
fc_gpt_5_6_sol,traj_010,15,False,False,False,False,0
fc_gpt_5_6_sol,traj_010,30,False,False,False,False,0
fc_gpt_5_6_sol,traj_010,45,False,False,False,False,0
fc_gpt_5_6_sol,traj_010,60,False,False,False,False,0
fc_gpt_5_6_sol,traj_010,75,False,False,False,False,0
fc_gpt_5_6_sol,traj_010,90,False,False,False,False,0
fc_gpt_5_6_sol,traj_010,105,False,False,False,False,0
fc_gpt_5_6_sol,traj_010,120,False,False,False,False,0
fc_gpt_5_6_sol,traj_010,135,False,False,False,False,0
fc_gpt_5_6_sol,traj_010,150,False,False,False,False,0
fc_gpt_5_6_sol,traj_010,165,False,False,False,False,0
fc_gpt_5_6_sol,traj_010,180,False,False,False,False,0
fc_gpt_5_6_sol,traj_010,195,False,False,False,False,0
fc_gpt_5_6_sol,traj_010,210,False,False,False,False,0
fc_gpt_5_6_sol,traj_010,225,False,False,False,False,0
fc_gpt_5_6_sol,traj_010,240,False,False,False,False,0
fc_gpt_5_6_sol,traj_010,255,False,False,False,False,0
fc_gpt_5_6_sol,traj_010,270,False,False,False,False,0
fc_gpt_5_6_sol,traj_010,285,False,False,False,False,0
fc_gpt_5_6_sol,traj_010,300,False,False,False,False,0
