method_id,trajectory_id,checkpoint,gold_evidence_support,retrieved_evidence_count,gold_evidence_recall,complete_gold_evidence_recall
fc_claude_opus_4_8,traj_010,15,1,15,1.0,True
fc_claude_opus_4_8,traj_010,30,2,30,1.0,True
fc_claude_opus_4_8,traj_010,45,3,45,1.0,True
fc_claude_opus_4_8,traj_010,60,4,60,1.0,True
fc_claude_opus_4_8,traj_010,75,5,75,1.0,True
fc_claude_opus_4_8,traj_010,90,4,90,1.0,True
fc_claude_opus_4_8,traj_010,105,5,105,1.0,True
fc_claude_opus_4_8,traj_010,120,6,120,1.0,True
fc_claude_opus_4_8,traj_010,135,7,135,1.0,True
fc_claude_opus_4_8,traj_010,150,7,150,1.0,True
fc_claude_opus_4_8,traj_010,165,8,165,1.0,True
fc_claude_opus_4_8,traj_010,180,6,180,1.0,True
fc_claude_opus_4_8,traj_010,195,7,195,1.0,True
fc_claude_opus_4_8,traj_010,210,7,210,1.0,True
fc_claude_opus_4_8,traj_010,225,7,225,1.0,True
fc_claude_opus_4_8,traj_010,240,7,240,1.0,True
fc_claude_opus_4_8,traj_010,255,7,255,1.0,True
fc_claude_opus_4_8,traj_010,270,8,270,1.0,True
fc_claude_opus_4_8,traj_010,285,7,285,1.0,True
fc_claude_opus_4_8,traj_010,300,7,300,1.0,True
fc_gpt_5_6_sol,traj_010,15,1,15,1.0,True
fc_gpt_5_6_sol,traj_010,30,2,30,1.0,True
fc_gpt_5_6_sol,traj_010,45,3,45,1.0,True
fc_gpt_5_6_sol,traj_010,60,4,60,1.0,True
fc_gpt_5_6_sol,traj_010,75,5,75,1.0,True
fc_gpt_5_6_sol,traj_010,90,4,90,1.0,True
fc_gpt_5_6_sol,traj_010,105,5,105,1.0,True
fc_gpt_5_6_sol,traj_010,120,6,120,1.0,True
fc_gpt_5_6_sol,traj_010,135,7,135,1.0,True
fc_gpt_5_6_sol,traj_010,150,7,150,1.0,True
fc_gpt_5_6_sol,traj_010,165,8,165,1.0,True
fc_gpt_5_6_sol,traj_010,180,6,180,1.0,True
fc_gpt_5_6_sol,traj_010,195,7,195,1.0,True
fc_gpt_5_6_sol,traj_010,210,7,210,1.0,True
fc_gpt_5_6_sol,traj_010,225,7,225,1.0,True
fc_gpt_5_6_sol,traj_010,240,7,240,1.0,True
fc_gpt_5_6_sol,traj_010,255,7,255,1.0,True
fc_gpt_5_6_sol,traj_010,270,8,270,1.0,True
fc_gpt_5_6_sol,traj_010,285,7,285,1.0,True
fc_gpt_5_6_sol,traj_010,300,7,300,1.0,True
