method_id,trajectory_id,checkpoint,value_accuracy,status_accuracy,evidence_hit_rate,evidence_citation_precision,exact_state_match
fc_claude_opus_4_8,traj_010,15,0.9705882352941176,1.0,1.0,0.4166666666666667,False
fc_claude_opus_4_8,traj_010,30,0.9705882352941176,1.0,0.8571428571428571,0.5454545454545454,False
fc_claude_opus_4_8,traj_010,45,0.9411764705882353,1.0,1.0,0.6666666666666666,False
fc_claude_opus_4_8,traj_010,60,0.8529411764705882,0.9411764705882353,0.6428571428571429,0.6,False
fc_claude_opus_4_8,traj_010,75,0.8823529411764706,0.9411764705882353,0.6428571428571429,0.42857142857142855,False
fc_claude_opus_4_8,traj_010,90,0.9411764705882353,1.0,1.0,0.625,False
fc_claude_opus_4_8,traj_010,105,0.9411764705882353,0.9705882352941176,0.9,0.47368421052631576,False
fc_claude_opus_4_8,traj_010,120,0.9411764705882353,1.0,0.9090909090909091,0.625,False
fc_claude_opus_4_8,traj_010,135,0.9117647058823529,0.9705882352941176,0.7272727272727273,0.42105263157894735,False
fc_claude_opus_4_8,traj_010,150,0.8529411764705882,0.8823529411764706,1.0,0.55,False
fc_claude_opus_4_8,traj_010,165,0.8823529411764706,0.9411764705882353,0.75,0.42857142857142855,False
fc_claude_opus_4_8,traj_010,180,0.8823529411764706,0.7941176470588235,0.9166666666666666,0.44,False
fc_claude_opus_4_8,traj_010,195,0.7941176470588235,0.7647058823529411,0.8235294117647058,0.56,False
fc_claude_opus_4_8,traj_010,210,0.8235294117647058,0.6470588235294118,0.5882352941176471,0.5555555555555556,False
fc_claude_opus_4_8,traj_010,225,0.7058823529411765,0.8529411764705882,0.7058823529411765,0.7058823529411765,False
fc_claude_opus_4_8,traj_010,240,0.6176470588235294,0.7647058823529411,0.7058823529411765,0.5,False
fc_claude_opus_4_8,traj_010,255,0.7647058823529411,0.7941176470588235,0.6666666666666666,0.5185185185185185,False
fc_claude_opus_4_8,traj_010,270,0.7647058823529411,0.8529411764705882,0.6818181818181818,0.5172413793103449,False
fc_claude_opus_4_8,traj_010,285,0.7352941176470589,0.7352941176470589,0.6666666666666666,0.36363636363636365,False
fc_claude_opus_4_8,traj_010,300,0.8823529411764706,0.8235294117647058,0.6666666666666666,0.5882352941176471,False
fc_gpt_5_6_sol,traj_010,15,0.9705882352941176,0.9705882352941176,0.2,0.2,False
fc_gpt_5_6_sol,traj_010,30,0.9705882352941176,0.9117647058823529,0.5714285714285714,0.26666666666666666,False
fc_gpt_5_6_sol,traj_010,45,0.9117647058823529,0.9705882352941176,0.6,0.4,False
fc_gpt_5_6_sol,traj_010,60,0.8235294117647058,0.9411764705882353,0.6428571428571429,0.4090909090909091,False
fc_gpt_5_6_sol,traj_010,75,0.7941176470588235,0.8235294117647058,0.6428571428571429,0.5,False
fc_gpt_5_6_sol,traj_010,90,0.8823529411764706,0.8529411764705882,0.8,0.4,False
fc_gpt_5_6_sol,traj_010,105,0.8823529411764706,0.9705882352941176,0.6,0.2608695652173913,False
fc_gpt_5_6_sol,traj_010,120,0.8823529411764706,0.9117647058823529,0.36363636363636365,0.25,False
fc_gpt_5_6_sol,traj_010,135,0.8823529411764706,0.9705882352941176,0.36363636363636365,0.3076923076923077,False
fc_gpt_5_6_sol,traj_010,150,0.7352941176470589,0.9117647058823529,0.2727272727272727,0.1875,False
fc_gpt_5_6_sol,traj_010,165,0.7941176470588235,0.9117647058823529,0.5833333333333334,0.3181818181818182,False
fc_gpt_5_6_sol,traj_010,180,0.8235294117647058,0.8823529411764706,0.75,0.45,False
fc_gpt_5_6_sol,traj_010,195,0.6764705882352942,0.7647058823529411,0.7647058823529411,0.48148148148148145,False
fc_gpt_5_6_sol,traj_010,210,0.6176470588235294,0.7058823529411765,0.8823529411764706,0.5555555555555556,False
fc_gpt_5_6_sol,traj_010,225,0.5882352941176471,0.7058823529411765,0.8823529411764706,0.5,False
fc_gpt_5_6_sol,traj_010,240,0.6470588235294118,0.7941176470588235,0.47058823529411764,0.36363636363636365,False
fc_gpt_5_6_sol,traj_010,255,0.6470588235294118,0.5882352941176471,0.8095238095238095,0.5862068965517241,False
fc_gpt_5_6_sol,traj_010,270,0.7058823529411765,0.7058823529411765,0.8636363636363636,0.4523809523809524,False
fc_gpt_5_6_sol,traj_010,285,0.6764705882352942,0.7647058823529411,0.6111111111111112,0.4074074074074074,False
fc_gpt_5_6_sol,traj_010,300,0.7941176470588235,0.7647058823529411,0.5333333333333333,0.34782608695652173,False
