method_id,lag_type,lag,accuracy,events,trajectories,aggregation
fc_claude_opus_4_8,exact_sessions,0,0.7759803921568628,17,1,event_lag_then_trajectory_macro
fc_claude_opus_4_8,exact_sessions,1,1,1,1,event_lag_then_trajectory_macro
fc_claude_opus_4_8,exact_sessions,15,0.8734375,16,1,event_lag_then_trajectory_macro
fc_claude_opus_4_8,exact_sessions,30,0.7533333333333333,15,1,event_lag_then_trajectory_macro
fc_claude_opus_4_8,exact_sessions,45,0.7230769230769231,13,1,event_lag_then_trajectory_macro
fc_claude_opus_4_8,exact_sessions,60,0.7,12,1,event_lag_then_trajectory_macro
fc_claude_opus_4_8,exact_sessions,75,0.8,8,1,event_lag_then_trajectory_macro
fc_claude_opus_4_8,exact_sessions,90,0.9,8,1,event_lag_then_trajectory_macro
fc_claude_opus_4_8,exact_sessions,105,0.9523809523809523,7,1,event_lag_then_trajectory_macro
fc_claude_opus_4_8,exact_sessions,120,0.7777777777777778,6,1,event_lag_then_trajectory_macro
fc_claude_opus_4_8,exact_sessions,135,0.6666666666666666,3,1,event_lag_then_trajectory_macro
fc_claude_opus_4_8,exact_sessions,150,1,2,1,event_lag_then_trajectory_macro
fc_claude_opus_4_8,exact_sessions,165,0.5,2,1,event_lag_then_trajectory_macro
fc_claude_opus_4_8,exact_sessions,180,0.5,2,1,event_lag_then_trajectory_macro
fc_claude_opus_4_8,exact_sessions,195,0,1,1,event_lag_then_trajectory_macro
fc_claude_opus_4_8,exact_sessions,210,0,1,1,event_lag_then_trajectory_macro
fc_claude_opus_4_8,exact_sessions,225,0,1,1,event_lag_then_trajectory_macro
fc_claude_opus_4_8,session_bucket,0,0.7759803921568628,17,1,event_lag_then_trajectory_macro
fc_claude_opus_4_8,session_bucket,1-15,0.8808823529411764,17,1,event_lag_then_trajectory_macro
fc_claude_opus_4_8,session_bucket,16-30,0.7533333333333333,15,1,event_lag_then_trajectory_macro
fc_claude_opus_4_8,session_bucket,31-60,0.7,13,1,event_lag_then_trajectory_macro
fc_claude_opus_4_8,session_bucket,61-120,0.8291666666666666,8,1,event_lag_then_trajectory_macro
fc_claude_opus_4_8,session_bucket,121-180,0.75,3,1,event_lag_then_trajectory_macro
fc_claude_opus_4_8,session_bucket,181-240,0,1,1,event_lag_then_trajectory_macro
fc_gpt_5_6_sol,exact_sessions,0,0.7083333333333334,17,1,event_lag_then_trajectory_macro
fc_gpt_5_6_sol,exact_sessions,1,1,1,1,event_lag_then_trajectory_macro
fc_gpt_5_6_sol,exact_sessions,15,0.6604166666666667,16,1,event_lag_then_trajectory_macro
fc_gpt_5_6_sol,exact_sessions,30,0.6644444444444444,15,1,event_lag_then_trajectory_macro
fc_gpt_5_6_sol,exact_sessions,45,0.6358974358974359,13,1,event_lag_then_trajectory_macro
fc_gpt_5_6_sol,exact_sessions,60,0.5888888888888889,12,1,event_lag_then_trajectory_macro
fc_gpt_5_6_sol,exact_sessions,75,0.7583333333333333,8,1,event_lag_then_trajectory_macro
fc_gpt_5_6_sol,exact_sessions,90,0.7583333333333333,8,1,event_lag_then_trajectory_macro
fc_gpt_5_6_sol,exact_sessions,105,0.8095238095238095,7,1,event_lag_then_trajectory_macro
fc_gpt_5_6_sol,exact_sessions,120,0.9444444444444444,6,1,event_lag_then_trajectory_macro
fc_gpt_5_6_sol,exact_sessions,135,0.6666666666666666,3,1,event_lag_then_trajectory_macro
fc_gpt_5_6_sol,exact_sessions,150,0.5,2,1,event_lag_then_trajectory_macro
fc_gpt_5_6_sol,exact_sessions,165,0.5,2,1,event_lag_then_trajectory_macro
fc_gpt_5_6_sol,exact_sessions,180,0.5,2,1,event_lag_then_trajectory_macro
fc_gpt_5_6_sol,exact_sessions,195,0,1,1,event_lag_then_trajectory_macro
fc_gpt_5_6_sol,exact_sessions,210,0,1,1,event_lag_then_trajectory_macro
fc_gpt_5_6_sol,exact_sessions,225,0,1,1,event_lag_then_trajectory_macro
fc_gpt_5_6_sol,session_bucket,0,0.7083333333333334,17,1,event_lag_then_trajectory_macro
fc_gpt_5_6_sol,session_bucket,1-15,0.6803921568627451,17,1,event_lag_then_trajectory_macro
fc_gpt_5_6_sol,session_bucket,16-30,0.6644444444444444,15,1,event_lag_then_trajectory_macro
fc_gpt_5_6_sol,session_bucket,31-60,0.6051282051282051,13,1,event_lag_then_trajectory_macro
fc_gpt_5_6_sol,session_bucket,61-120,0.7895833333333333,8,1,event_lag_then_trajectory_macro
fc_gpt_5_6_sol,session_bucket,121-180,0.6666666666666666,3,1,event_lag_then_trajectory_macro
fc_gpt_5_6_sol,session_bucket,181-240,0,1,1,event_lag_then_trajectory_macro
