method_id,path,aggregation,eligible,eligible_trajectories,reported_trajectories,update_events,final_state_accuracy,correct_change_precision,correct_change_recall,correct_change_f1,event_macro_update_accuracy,retention_after_update,confusion_tn,confusion_fp,confusion_fn,confusion_tp_correct,confusion_tp_wrong_value
fc_openrouter_llama_4_maverick,cashflow.recent_one_off_expense,checkpoint_then_trajectory_macro,True,19,20,77,0.475,0.2911474788857875,0.27053795719063767,0.2783289382583224,0.32341269841269843,0.26672423580318316,117,4,19,73,187
fc_openrouter_llama_4_maverick,education.child_education_stage,checkpoint_then_trajectory_macro,True,13,20,24,0.62,0.2910132351308822,0.34668280437511206,0.3070978728873466,0.3333333333333333,0.34908424908424907,196,91,24,53,36
fc_openrouter_llama_4_maverick,education.self_education_status,checkpoint_then_trajectory_macro,True,10,20,10,0.765,0.6663025210084034,0.44777896853748245,0.5079333669330153,0.8,0.44777896853748245,236,8,69,71,16
fc_openrouter_llama_4_maverick,employment.employer,checkpoint_then_trajectory_macro,True,19,20,82,0.3975,0.3101338296975416,0.260596267382971,0.2740976529331788,0.2954887218045113,0.31347307663097135,71,25,44,88,172
fc_openrouter_llama_4_maverick,employment.employment_status,checkpoint_then_trajectory_macro,True,20,20,75,0.6125,0.5955300014742739,0.4568291044181137,0.48524518738915023,0.34833333333333333,0.38602891797744737,107,29,70,138,56
fc_openrouter_llama_4_maverick,employment.income_stability,checkpoint_then_trajectory_macro,True,20,20,72,0.4725,0.38056354120595604,0.332026957175951,0.3440196058925897,0.235,0.3094031009839833,86,39,59,103,113
fc_openrouter_llama_4_maverick,employment.occupation,checkpoint_then_trajectory_macro,False,0,20,0,0.475,,,,,,191,209,0,0,0
fc_openrouter_llama_4_maverick,employment.salary_account,checkpoint_then_trajectory_macro,True,20,20,61,0.4725,0.14377450980392156,0.15479166666666666,0.14443548387096775,0.14357142857142857,0.15166666666666667,136,41,66,53,104
fc_openrouter_llama_4_maverick,employment.salary_day,checkpoint_then_trajectory_macro,True,20,20,90,0.31,0.24748003587399872,0.2100369947390071,0.21888840423089004,0.30220238095238094,0.2882142857142857,51,20,44,73,212
fc_openrouter_llama_4_maverick,financial_products.checking_accounts,checkpoint_then_trajectory_macro,False,0,20,0,0.9775,,,,,,395,5,0,0,0
