method_id,trajectory_id,checkpoint,change_detection_f1,change_detection_precision,change_detection_recall,changed_path_count,changed_state_accuracy,correct_cell_count,correct_change_f1,correct_change_precision,correct_change_recall,dynamic_path_count,dynamic_path_final_state_accuracy,evidence_citation_precision,evidence_hit_rate,exact_state_match,final_state_accuracy,status_accuracy,unchanged_path_count,unchanged_state_accuracy,value_accuracy
fc_openrouter_gpt_oss_120b,traj_001,15,0.888888888888889,1.0,0.8,5,0.8,33,0.888888888888889,1.0,0.8,25,0.96,1.0,0.6,False,0.9705882352941176,0.9705882352941176,29,1.0,0.9705882352941176
fc_openrouter_gpt_oss_120b,traj_001,30,0.0,0.0,0.0,5,0.0,29,0.0,0.0,0.0,25,0.8,,0.0,False,0.8529411764705882,0.8823529411764706,29,1.0,0.8529411764705882
fc_openrouter_gpt_oss_120b,traj_001,45,0.0,0.0,0.0,5,0.0,29,0.0,0.0,0.0,25,0.8,,0.0,False,0.8529411764705882,0.8823529411764706,29,1.0,0.8529411764705882
fc_openrouter_gpt_oss_120b,traj_001,60,0.0,0.0,0.0,7,0.0,27,0.0,0.0,0.0,25,0.72,,0.0,False,0.7941176470588235,0.8529411764705882,27,1.0,0.7941176470588235
fc_openrouter_gpt_oss_120b,traj_001,75,0.5714285714285715,1.0,0.4,10,0.3,27,0.4285714285714285,0.75,0.3,25,0.72,0.0,0.0,False,0.7941176470588235,0.9117647058823529,24,1.0,0.7941176470588235
fc_openrouter_gpt_oss_120b,traj_001,90,0.0,0.0,0.0,9,0.0,25,0.0,0.0,0.0,25,0.64,,0.0,False,0.7352941176470589,0.8235294117647058,25,1.0,0.7352941176470589
fc_openrouter_gpt_oss_120b,traj_001,105,0.13333333333333333,1.0,0.07142857142857142,14,0.0,20,0.0,0.0,0.0,25,0.44,0.0,0.0,False,0.5882352941176471,0.8235294117647058,20,1.0,0.5882352941176471
fc_openrouter_gpt_oss_120b,traj_001,120,0.125,1.0,0.06666666666666667,15,0.0,19,0.0,0.0,0.0,25,0.4,0.0,0.0,False,0.5588235294117647,0.8529411764705882,19,1.0,0.5588235294117647
fc_openrouter_gpt_oss_120b,traj_001,135,0.0,0.0,0.0,15,0.0,19,0.0,0.0,0.0,25,0.4,,0.0,False,0.5588235294117647,0.8235294117647058,19,1.0,0.5588235294117647
fc_openrouter_gpt_oss_120b,traj_001,150,0.25,1.0,0.14285714285714285,14,0.0,20,0.0,0.0,0.0,25,0.44,0.0,0.0,False,0.5882352941176471,0.8235294117647058,20,1.0,0.6176470588235294
fc_openrouter_gpt_oss_120b,traj_001,165,0.0,0.0,0.0,15,0.0,19,0.0,0.0,0.0,25,0.4,,0.0,False,0.5588235294117647,0.7941176470588235,19,1.0,0.5588235294117647
fc_openrouter_gpt_oss_120b,traj_001,180,0.0,0.0,0.0,16,0.0,18,0.0,0.0,0.0,25,0.36,,0.0,False,0.5294117647058824,0.7941176470588235,18,1.0,0.5294117647058824
fc_openrouter_gpt_oss_120b,traj_001,195,0.38095238095238093,1.0,0.23529411764705882,17,0.17647058823529413,20,0.2857142857142857,0.75,0.17647058823529413,25,0.44,0.0,0.0,False,0.5882352941176471,0.8823529411764706,17,1.0,0.5882352941176471
fc_openrouter_gpt_oss_120b,traj_001,210,0.21052631578947367,1.0,0.11764705882352941,17,0.058823529411764705,18,0.10526315789473684,0.5,0.058823529411764705,25,0.36,0.0,0.0,False,0.5294117647058824,0.8529411764705882,17,1.0,0.5294117647058824
fc_openrouter_gpt_oss_120b,traj_001,225,0.0,0.0,0.0,17,0.0,17,0.0,0.0,0.0,25,0.32,,0.0,False,0.5,0.7941176470588235,17,1.0,0.5
fc_openrouter_gpt_oss_120b,traj_001,240,0.4347826086956522,0.8333333333333334,0.29411764705882354,17,0.0,16,0.0,0.0,0.0,25,0.32,0.0,0.0,False,0.47058823529411764,0.8235294117647058,17,0.9411764705882353,0.5294117647058824
