method_id,trajectory_id,checkpoint,value_accuracy,status_accuracy,evidence_hit_rate,evidence_citation_precision,exact_state_match
fc_openrouter_gpt_oss_120b,traj_001,15,0.9705882352941176,0.9705882352941176,0.6,1.0,False
fc_openrouter_gpt_oss_120b,traj_001,30,0.8529411764705882,0.8823529411764706,0.0,,False
fc_openrouter_gpt_oss_120b,traj_001,45,0.8529411764705882,0.8823529411764706,0.0,,False
fc_openrouter_gpt_oss_120b,traj_001,60,0.7941176470588235,0.8529411764705882,0.0,,False
fc_openrouter_gpt_oss_120b,traj_001,75,0.7941176470588235,0.9117647058823529,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_001,90,0.7352941176470589,0.8235294117647058,0.0,,False
fc_openrouter_gpt_oss_120b,traj_001,105,0.5882352941176471,0.8235294117647058,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_001,120,0.5588235294117647,0.8529411764705882,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_001,135,0.5588235294117647,0.8235294117647058,0.0,,False
fc_openrouter_gpt_oss_120b,traj_001,150,0.6176470588235294,0.8235294117647058,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_001,165,0.5588235294117647,0.7941176470588235,0.0,,False
fc_openrouter_gpt_oss_120b,traj_001,180,0.5294117647058824,0.7941176470588235,0.0,,False
fc_openrouter_gpt_oss_120b,traj_001,195,0.5882352941176471,0.8823529411764706,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_001,210,0.5294117647058824,0.8529411764705882,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_001,225,0.5,0.7941176470588235,0.0,,False
fc_openrouter_gpt_oss_120b,traj_001,240,0.5294117647058824,0.8235294117647058,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_001,255,0.5,0.7647058823529411,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_001,270,0.47058823529411764,0.7647058823529411,0.0,,False
fc_openrouter_gpt_oss_120b,traj_001,285,0.5,0.7647058823529411,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_001,300,0.5,0.7647058823529411,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_002,15,1.0,1.0,1.0,1.0,True
fc_openrouter_gpt_oss_120b,traj_002,30,0.9705882352941176,1.0,0.5,1.0,False
fc_openrouter_gpt_oss_120b,traj_002,45,0.9117647058823529,0.9117647058823529,0.14285714285714285,1.0,False
fc_openrouter_gpt_oss_120b,traj_002,60,0.7647058823529411,0.8529411764705882,0.0,,False
fc_openrouter_gpt_oss_120b,traj_002,75,0.7647058823529411,0.9411764705882353,0.0,,False
fc_openrouter_gpt_oss_120b,traj_002,90,0.7647058823529411,0.9411764705882353,0.0,,False
fc_openrouter_gpt_oss_120b,traj_002,105,0.7352941176470589,1.0,0.375,0.3,False
fc_openrouter_gpt_oss_120b,traj_002,120,0.7647058823529411,0.9117647058823529,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_002,135,0.7647058823529411,0.8235294117647058,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_002,150,0.7058823529411765,0.8235294117647058,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_002,165,0.5882352941176471,0.7941176470588235,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_002,180,0.5294117647058824,0.7941176470588235,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_002,195,0.6764705882352942,0.8235294117647058,0.0,,False
fc_openrouter_gpt_oss_120b,traj_002,210,0.6470588235294118,0.9117647058823529,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_002,225,0.6764705882352942,0.9117647058823529,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_002,240,0.6470588235294118,0.7941176470588235,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_002,255,0.6470588235294118,0.8235294117647058,0.0,,False
fc_openrouter_gpt_oss_120b,traj_002,270,0.5882352941176471,0.7941176470588235,0.0,,False
fc_openrouter_gpt_oss_120b,traj_002,285,0.5882352941176471,0.7941176470588235,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_002,300,0.5588235294117647,0.7941176470588235,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_003,15,0.8529411764705882,0.8823529411764706,0.0,,False
fc_openrouter_gpt_oss_120b,traj_003,30,0.8529411764705882,0.8823529411764706,0.16666666666666666,0.5,False
fc_openrouter_gpt_oss_120b,traj_003,45,0.8235294117647058,0.8823529411764706,0.16666666666666666,0.5,False
fc_openrouter_gpt_oss_120b,traj_003,60,0.8235294117647058,0.8823529411764706,0.14285714285714285,0.3333333333333333,False
fc_openrouter_gpt_oss_120b,traj_003,75,0.9117647058823529,0.9705882352941176,0.42857142857142855,0.6,False
fc_openrouter_gpt_oss_120b,traj_003,90,0.7941176470588235,0.8529411764705882,0.1111111111111111,0.5,False
fc_openrouter_gpt_oss_120b,traj_003,105,0.7647058823529411,0.9117647058823529,0.08333333333333333,0.25,False
fc_openrouter_gpt_oss_120b,traj_003,120,0.7647058823529411,0.9411764705882353,0.16666666666666666,0.4,False
fc_openrouter_gpt_oss_120b,traj_003,135,0.7058823529411765,0.8529411764705882,0.09090909090909091,0.2,False
fc_openrouter_gpt_oss_120b,traj_003,150,0.6764705882352942,0.8235294117647058,0.08333333333333333,0.2,False
fc_openrouter_gpt_oss_120b,traj_003,165,0.5588235294117647,0.7941176470588235,0.06666666666666667,0.5,False
fc_openrouter_gpt_oss_120b,traj_003,180,0.5588235294117647,0.7941176470588235,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_003,195,0.47058823529411764,0.7647058823529411,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_003,210,0.4117647058823529,0.7647058823529411,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_003,225,0.5,0.8529411764705882,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_003,240,0.4411764705882353,0.7647058823529411,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_003,255,0.4411764705882353,0.8529411764705882,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_003,270,0.5294117647058824,0.7647058823529411,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_003,285,0.5294117647058824,0.8529411764705882,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_003,300,0.5,0.8823529411764706,0.0,0.0,False
