method_id,path,aggregation,eligible,eligible_trajectories,reported_trajectories,update_events,final_state_accuracy,correct_change_precision,correct_change_recall,correct_change_f1,event_macro_update_accuracy,retention_after_update,confusion_tn,confusion_fp,confusion_fn,confusion_tp_correct,confusion_tp_wrong_value
fc_openrouter_qwen_3_5_122b_a10b,cashflow.recent_one_off_expense,checkpoint_then_trajectory_macro,True,19,20,77,0.77,0.7293265440405737,0.7758793010259525,0.7473710192546758,0.793671679197995,0.7672203196926188,87,34,12,221,46
fc_openrouter_qwen_3_5_122b_a10b,education.child_education_stage,checkpoint_then_trajectory_macro,True,13,20,24,0.5925,0.6045288045288045,0.8430607853684777,0.6234668360913526,0.7692307692307693,0.8452177452177452,147,140,11,90,12
fc_openrouter_qwen_3_5_122b_a10b,education.self_education_status,checkpoint_then_trajectory_macro,True,10,20,10,0.815,0.9354166666666667,0.5136564922865232,0.6198236176190141,0.7,0.5136564922865232,244,0,69,82,5
fc_openrouter_qwen_3_5_122b_a10b,employment.employer,checkpoint_then_trajectory_macro,True,19,20,82,0.4975,0.36737871216647494,0.3661234925431601,0.3663918458943822,0.47982456140350876,0.42311270600744283,76,20,9,123,172
fc_openrouter_qwen_3_5_122b_a10b,employment.employment_status,checkpoint_then_trajectory_macro,True,20,20,75,0.85,0.8531138452191084,0.8042214618027311,0.8238241398241398,0.6066666666666667,0.6975719582704877,128,8,20,212,32
fc_openrouter_qwen_3_5_122b_a10b,employment.income_stability,checkpoint_then_trajectory_macro,True,20,20,72,0.795,0.7830528765610035,0.7367514247448458,0.7573124883230609,0.5616666666666666,0.6680936085972851,120,5,23,198,54
fc_openrouter_qwen_3_5_122b_a10b,employment.occupation,checkpoint_then_trajectory_macro,False,0,20,0,0.4725,,,,,,189,211,0,0,0
fc_openrouter_qwen_3_5_122b_a10b,employment.salary_account,checkpoint_then_trajectory_macro,True,20,20,61,0.4975,0.1403362573099415,0.14125,0.1405658093196793,0.13642857142857143,0.14,146,31,90,53,80
fc_openrouter_qwen_3_5_122b_a10b,employment.salary_day,checkpoint_then_trajectory_macro,True,20,20,90,0.43,0.31734306027649684,0.30696620587874457,0.31118685906456806,0.4010714285714286,0.4010714285714286,68,3,19,105,205
fc_openrouter_qwen_3_5_122b_a10b,financial_products.checking_accounts,checkpoint_then_trajectory_macro,False,0,20,0,1.0,,,,,,400,0,0,0,0
