method_id,trajectory_id,path,checkpoints,final_state_accuracy,eligible,update_event_support,event_macro_update_accuracy,retention_after_update,correct_change_precision,correct_change_recall,correct_change_f1,confusion_tn,confusion_fp,confusion_fn,confusion_tp_correct,confusion_tp_wrong_value
fc_openrouter_qwen_3_5_122b_a10b,traj_001,cashflow.recent_one_off_expense,20,0.75,True,2,0.5,0.5625,0.6666666666666666,0.6,0.631578947368421,9,1,2,6,2
fc_openrouter_qwen_3_5_122b_a10b,traj_001,education.child_education_stage,20,0.45,True,1,1.0,1.0,0.26666666666666666,1.0,0.4210526315789474,5,11,0,4,0
fc_openrouter_qwen_3_5_122b_a10b,traj_001,education.self_education_status,20,0.8,True,1,0.0,0.5555555555555556,1.0,0.5555555555555556,0.7142857142857143,11,0,4,5,0
fc_openrouter_qwen_3_5_122b_a10b,traj_001,employment.employer,20,0.7,True,6,0.6666666666666666,0.5833333333333334,0.7777777777777778,0.7,0.7368421052631577,0,0,2,14,4
fc_openrouter_qwen_3_5_122b_a10b,traj_001,employment.employment_status,20,0.65,True,6,0.6666666666666666,0.6666666666666666,0.6,0.6,0.6,4,1,1,9,5
fc_openrouter_qwen_3_5_122b_a10b,traj_001,employment.income_stability,20,0.8,True,8,1.0,0.8833333333333333,0.8,0.8,0.8000000000000002,0,0,0,16,4
fc_openrouter_qwen_3_5_122b_a10b,traj_001,employment.occupation,20,0.45,False,0,,,0.0,,,9,11,0,0,0
fc_openrouter_qwen_3_5_122b_a10b,traj_001,employment.salary_account,20,0.45,True,8,0.5,0.5,0.5,0.45,0.4736842105263158,0,0,2,9,9
fc_openrouter_qwen_3_5_122b_a10b,traj_001,employment.salary_day,20,0.45,True,8,0.5,0.5,0.5,0.45,0.4736842105263158,0,0,2,9,9
fc_openrouter_qwen_3_5_122b_a10b,traj_001,financial_products.checking_accounts,20,1.0,False,0,,,0.0,,,20,0,0,0,0
fc_openrouter_qwen_3_5_122b_a10b,traj_001,financial_products.loans,20,0.95,True,1,0.0,0.9285714285714286,1.0,0.9285714285714286,0.962962962962963,6,0,1,13,0
fc_openrouter_qwen_3_5_122b_a10b,traj_001,financial_products.pension_or_irp,20,0.85,False,0,,,0.0,,,17,3,0,0,0
fc_openrouter_qwen_3_5_122b_a10b,traj_001,financial_products.savings_accounts,20,1.0,False,0,,,0.0,,,20,0,0,0,0
fc_openrouter_qwen_3_5_122b_a10b,traj_001,goals.child_education_goal,20,0.85,True,4,0.75,0.9375,0.8333333333333334,0.9375,0.8823529411764706,2,2,0,15,1
