method_id,lag_type,lag,accuracy,events,trajectories,aggregation
fc_openrouter_qwen_3_5_122b_a10b,exact_sessions,0,0.639885870722558,369,20,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_5_122b_a10b,exact_sessions,1,0.75,4,4,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_5_122b_a10b,exact_sessions,4,1,2,2,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_5_122b_a10b,exact_sessions,5,0.5,2,2,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_5_122b_a10b,exact_sessions,7,1,1,1,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_5_122b_a10b,exact_sessions,9,1,1,1,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_5_122b_a10b,exact_sessions,10,0.375,3,2,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_5_122b_a10b,exact_sessions,11,0.5,2,2,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_5_122b_a10b,exact_sessions,12,0.6666666666666666,3,3,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_5_122b_a10b,exact_sessions,13,0,2,2,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_5_122b_a10b,exact_sessions,14,0,2,2,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_5_122b_a10b,exact_sessions,15,0.7246448381393719,309,20,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_5_122b_a10b,exact_sessions,16,0,1,1,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_5_122b_a10b,exact_sessions,19,1,2,2,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_5_122b_a10b,exact_sessions,20,0.5,2,2,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_5_122b_a10b,exact_sessions,24,1,1,1,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_5_122b_a10b,exact_sessions,25,0.375,3,2,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_5_122b_a10b,exact_sessions,26,0.5,2,2,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_5_122b_a10b,exact_sessions,27,0.5,3,3,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_5_122b_a10b,exact_sessions,28,0.25,2,2,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_5_122b_a10b,exact_sessions,29,0.5,2,2,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_5_122b_a10b,exact_sessions,30,0.7124344273451416,251,20,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_5_122b_a10b,exact_sessions,31,1,1,1,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_5_122b_a10b,exact_sessions,34,1,1,1,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_5_122b_a10b,exact_sessions,35,0.5,2,2,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_5_122b_a10b,exact_sessions,39,1,1,1,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_5_122b_a10b,exact_sessions,40,1,2,1,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_5_122b_a10b,exact_sessions,41,0.5,2,2,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_5_122b_a10b,exact_sessions,42,0.6666666666666666,3,3,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_5_122b_a10b,exact_sessions,43,0,1,1,event_lag_then_trajectory_macro
fc_openrouter_qwen_3_5_122b_a10b,exact_sessions,44,0,2,2,event_lag_then_trajectory_macro
