method_id,path,aggregation,eligible,eligible_trajectories,reported_trajectories,update_events,final_state_accuracy,correct_change_precision,correct_change_recall,correct_change_f1,event_macro_update_accuracy,retention_after_update,confusion_tn,confusion_fp,confusion_fn,confusion_tp_correct,confusion_tp_wrong_value
fc_openrouter_qwen_3_6_35b_a3b_fp8,cashflow.recent_one_off_expense,checkpoint_then_trajectory_macro,True,19,20,77,0.6575,0.5824470265219003,0.5810213983507123,0.5785151190123217,0.5752923976608187,0.5836586348913219,98,23,24,165,90
fc_openrouter_qwen_3_6_35b_a3b_fp8,education.child_education_stage,checkpoint_then_trajectory_macro,True,13,20,24,0.635,0.5302867004790082,0.6899438168668938,0.5202460511923428,0.5128205128205128,0.6824074074074074,180,107,25,74,14
fc_openrouter_qwen_3_6_35b_a3b_fp8,education.self_education_status,checkpoint_then_trajectory_macro,True,10,20,10,0.7575,0.9,0.38573784102034875,0.48345537921913634,0.6,0.38573784102034875,244,0,96,59,1
fc_openrouter_qwen_3_6_35b_a3b_fp8,employment.employer,checkpoint_then_trajectory_macro,True,19,20,82,0.5475,0.4575193025250056,0.4383201824337558,0.44665196087490483,0.5294486215538847,0.5143246373509531,87,9,25,132,147
fc_openrouter_qwen_3_6_35b_a3b_fp8,employment.employment_status,checkpoint_then_trajectory_macro,True,20,20,75,0.7325,0.724896671311145,0.6319025524269333,0.6666949934596993,0.5,0.5711904761904761,124,12,41,169,54
fc_openrouter_qwen_3_6_35b_a3b_fp8,employment.income_stability,checkpoint_then_trajectory_macro,True,20,20,72,0.6125,0.48942851502642526,0.45547288130685964,0.4685141820567384,0.41,0.4529770127748069,118,7,33,127,115
fc_openrouter_qwen_3_6_35b_a3b_fp8,employment.occupation,checkpoint_then_trajectory_macro,False,0,20,0,0.6925,,,,,,277,123,0,0,0
fc_openrouter_qwen_3_6_35b_a3b_fp8,employment.salary_account,checkpoint_then_trajectory_macro,True,20,20,61,0.5475,0.14269736842105263,0.14125,0.1419551282051282,0.13642857142857143,0.13642857142857143,166,11,107,53,63
fc_openrouter_qwen_3_6_35b_a3b_fp8,employment.salary_day,checkpoint_then_trajectory_macro,True,20,20,90,0.41500000000000004,0.3159099917110753,0.2836841684287505,0.2956734005155058,0.37845238095238093,0.38478174603174603,70,1,49,96,184
fc_openrouter_qwen_3_6_35b_a3b_fp8,financial_products.checking_accounts,checkpoint_then_trajectory_macro,False,0,20,0,0.9975,,,,,,399,1,0,0,0
fc_openrouter_qwen_3_6_35b_a3b_fp8,financial_products.loans,checkpoint_then_trajectory_macro,True,12,20,12,0.915,0.875,0.7251843540446482,0.7849455860931209,0.75,0.7251843540446482,264,11,23,102,0
fc_openrouter_qwen_3_6_35b_a3b_fp8,financial_products.pension_or_irp,checkpoint_then_trajectory_macro,True,7,20,8,0.725,0.7299525870954442,0.8141989589358011,0.7252446513530257,1.0,0.8109022556390978,226,95,15,64,0
fc_openrouter_qwen_3_6_35b_a3b_fp8,financial_products.savings_accounts,checkpoint_then_trajectory_macro,False,0,20,0,0.975,,,,,,390,10,0,0,0
fc_openrouter_qwen_3_6_35b_a3b_fp8,goals.child_education_goal,checkpoint_then_trajectory_macro,True,6,20,15,0.805,0.6645299145299145,0.7661736411736412,0.6980987797417817,0.6527777777777778,0.7559193121693122,262,62,5,60,11
fc_openrouter_qwen_3_6_35b_a3b_fp8,goals.emergency_fund,checkpoint_then_trajectory_macro,False,0,20,0,0.675,,,,,,270,130,0,0,0
fc_openrouter_qwen_3_6_35b_a3b_fp8,goals.housing_deposit_goal,checkpoint_then_trajectory_macro,False,0,20,0,0.6825,,,,,,273,127,0,0,0
fc_openrouter_qwen_3_6_35b_a3b_fp8,goals.retirement_goal,checkpoint_then_trajectory_macro,False,0,20,0,0.6475,,,,,,259,141,0,0,0
